| Reward: -275 | Episode: 151 | Qmax: 90.20365201509915 | Exploration: 0.0789794699585 | Step: 78 | LR:0.0005922309
| Reward: -281 | Episode: 152 | Qmax: 89.8968935466948 | Exploration: 0.0773998805594 | Step: 84 | LR:0.0005803863
| Reward: -250 | Episode: 153 | Qmax: 86.8499057523666 | Exploration: 0.0758518829482 | Step: 62 | LR:0.0005687786
| Reward: -260 | Episode: 154 | Qmax: 89.2029825316535 | Exploration: 0.0743348452892 | Step: 72 | LR:0.0005574031
| Reward: -233 | Episode: 155 | Qmax: 91.28830613030328 | Exploration: 0.0728481483834 | Step: 54 | LR:0.00054625503
| Reward: -234 | Episode: 156 | Qmax: 93.50538864135743 | Exploration: 0.0713911854158 | Step: 55 | LR:0.0005353299
| Reward: -251 | Episode: 157 | Qmax: 93.26086964682928 | Exploration: 0.0699633617074 | Step: 63 | LR:0.0005246234
| Reward: -605 | Episode: 158 | Qmax: 91.59950018620145 | Exploration: 0.0685640944733 | Step: 138 | LR:0.0005141309
| Reward: -391 | Episode: 159 | Qmax: 92.13268297772075 | Exploration: 0.0671928125838 | Step: 86 | LR:0.0005038483
| Reward: -235 | Episode: 160 | Qmax: 93.99081911359515 | Exploration: 0.0658489563322 | Step: 56 | LR:0.00049377134
| Reward: -374 | Episode: 161 | Qmax: 92.67589441935222 | Exploration: 0.0645319772055 | Step: 78 | LR:0.00048389594
| Reward: -647 | Episode: 162 | Qmax: 91.59259003533258 | Exploration: 0.0632413376614 | Step: 90 | LR:0.000474218
| Reward: -243 | Episode: 163 | Qmax: 95.61251005692915 | Exploration: 0.0619765109082 | Step: 55 | LR:0.00046473372
| Reward: -333 | Episode: 164 | Qmax: 92.77273545698687 | Exploration: 0.06073698069 | Step: 55 | LR:0.000455439
| Reward: -292 | Episode: 165 | Qmax: 91.60481290315327 | Exploration: 0.0595222410762 | Step: 95 | LR:0.00044633026
| Reward: -270 | Episode: 166 | Qmax: 92.84373822055021 | Exploration: 0.0583317962547 | Step: 91 | LR:0.0004374037
| Reward: -519 | Episode: 167 | Qmax: 92.35838640350656 | Exploration: 0.0571651603296 | Step: 97 | LR:0.00042865562
| Reward: -278 | Episode: 168 | Qmax: 93.34138430489435 | Exploration: 0.056021857123 | Step: 72 | LR:0.00042008254
| Reward: -227 | Episode: 169 | Qmax: 95.48997189705833 | Exploration: 0.0549014199805 | Step: 57 | LR:0.0004116809
| Reward: -259 | Episode: 170 | Qmax: 92.46381421156333 | Exploration: 0.0538033915809 | Step: 71 | LR:0.00040344728
| Reward: -287 | Episode: 171 | Qmax: 92.54851294623481 | Exploration: 0.0527273237493 | Step: 90 | LR:0.0003953784
| Reward: -336 | Episode: 172 | Qmax: 93.3410415649414 | Exploration: 0.0516727772743 | Step: 67 | LR:0.0003874708
| Reward: -263 | Episode: 173 | Qmax: 92.98484347159402 | Exploration: 0.0506393217288 | Step: 57 | LR:0.0003797214
