 | Episode: 165 | Train: 0.0469226837158 | Gym: 0.115404844284 | Batch: 0.0262246131897 | Guide: 0.0961120128632
 | Episode: 166 | Train: 0.0574934482574 | Gym: 0.122076272964 | Batch: 0.031031370163 | Guide: 0.0989849567413
 | Episode: 167 | Train: 0.0440330505371 | Gym: 0.0196809768677 | Batch: 0.024662733078 | Guide: 0
 | Episode: 168 | Train: 0.0483582019806 | Gym: 0.0181329250336 | Batch: 0.021968126297 | Guide: 0
 | Episode: 169 | Train: 0.0494027137756 | Gym: 0.0245363712311 | Batch: 0.0319757461548 | Guide: 0
 | Episode: 170 | Train: 0.0492541790009 | Gym: 0.0242319107056 | Batch: 0.0293290615082 | Guide: 0
 | Episode: 171 | Train: 0.047070980072 | Gym: 0.0230529308319 | Batch: 0.0282070636749 | Guide: 0
 | Episode: 172 | Train: 0.0437872409821 | Gym: 0.0199241638184 | Batch: 0.0225865840912 | Guide: 0
 | Episode: 173 | Train: 0.0454528331757 | Gym: 0.0205390453339 | Batch: 0.0249066352844 | Guide: 0
 | Episode: 174 | Train: 0.0448296070099 | Gym: 0.124779224396 | Batch: 0.0284712314606 | Guide: 0.10390996933
 | Episode: 175 | Train: 0.0503911972046 | Gym: 0.0214405059814 | Batch: 0.027250289917 | Guide: 0
 | Episode: 176 | Train: 0.0475850105286 | Gym: 0.0195198059082 | Batch: 0.0247673988342 | Guide: 0
 | Episode: 177 | Train: 0.0461957454681 | Gym: 0.0210697650909 | Batch: 0.0268068313599 | Guide: 0
 | Episode: 178 | Train: 0.0452573299408 | Gym: 0.0176105499268 | Batch: 0.0216245651245 | Guide: 0
 | Episode: 179 | Train: 0.0472757816315 | Gym: 0.0220539569855 | Batch: 0.0284898281097 | Guide: 0
 | Episode: 180 | Train: 0.148370027542 | Gym: 0.023946762085 | Batch: 0.0277483463287 | Guide: 0
 | Episode: 181 | Train: 0.0515358448029 | Gym: 0.132610797882 | Batch: 0.0276539325714 | Guide: 0.112697124481
 | Episode: 182 | Train: 0.0443012714386 | Gym: 0.0199334621429 | Batch: 0.0235221385956 | Guide: 0
 | Episode: 183 | Train: 0.0472424030304 | Gym: 0.134565830231 | Batch: 0.0298452377319 | Guide: 0.114685058594
 | Episode: 184 | Train: 0.0456433296204 | Gym: 0.0225231647491 | Batch: 0.0285894870758 | Guide: 0
 | Episode: 185 | Train: 0.0436234474182 | Gym: 0.112417936325 | Batch: 0.0239531993866 | Guide: 0.0950651168823
 | Episode: 186 | Train: 0.0466027259827 | Gym: 0.0212631225586 | Batch: 0.028557062149 | Guide: 0
 | Episode: 187 | Train: 0.0526974201202 | Gym: 0.13504242897 | Batch: 0.0307059288025 | Guide: 0.111320018768
 | Episode: 188 | Train: 0.0442929267883 | Gym: 0.0211279392242 | Batch: 0.0253183841705 | Guide: 0
 | Episode: 189 | Train: 0.0489528179169 | Gym: 0.136171102524 | Batch: 0.0282900333405 | Guide: 0.115906000137
 | Episode: 190 | Train: 0.0470545291901 | Gym: 0.0190045833588 | Batch: 0.0229921340942 | Guide: 0
 | Episode: 191 | Train: 0.0463333129883 | Gym: 0.0251934528351 | Batch: 0.0268514156342 | Guide: 0
 | Episode: 192 | Train: 0.0457999706268 | Gym: 0.112461090088 | Batch: 0.0262558460236 | Guide: 0.0940461158752
 | Episode: 193 | Train: 0.0439481735229 | Gym: 0.020033121109 | Batch: 0.0253312587738 | Guide: 0
 | Episode: 194 | Train: 0.0486006736755 | Gym: 0.125577449799 | Batch: 0.0262286663055 | Guide: 0.105206012726
 | Episode: 195 | Train: 0.0471973419189 | Gym: 0.137825965881 | Batch: 0.0317809581757 | Guide: 0.115011930466
 | Episode: 196 | Train: 0.0450217723846 | Gym: 0.0212090015411 | Batch: 0.0264685153961 | Guide: 0
 | Episode: 197 | Train: 0.0474872589111 | Gym: 0.0213639736176 | Batch: 0.0266129970551 | Guide: 0
 | Episode: 198 | Train: 0.0465762615204 | Gym: 0.0215463638306 | Batch: 0.026214838028 | Guide: 0
 | Episode: 199 | Train: 0.0460357666016 | Gym: 0.124589920044 | Batch: 0.0297253131866 | Guide: 0.103226900101
 | Episode: 200 | Train: 0.135599374771 | Gym: 0.0212426185608 | Batch: 0.0268759727478 | Guide: 0
 | Episode: 201 | Train: 0.0465955734253 | Gym: 0.0230765342712 | Batch: 0.0271184444427 | Guide: 0
 | Episode: 202 | Train: 0.0514712333679 | Gym: 0.0210430622101 | Batch: 0.0270357131958 | Guide: 0
 | Episode: 203 | Train: 0.0417585372925 | Gym: 0.01886510849 | Batch: 0.0227661132812 | Guide: 0
 | Episode: 204 | Train: 0.0570678710938 | Gym: 0.0243833065033 | Batch: 0.0325543880463 | Guide: 0
 | Episode: 205 | Train: 0.0467631816864 | Gym: 0.0213811397552 | Batch: 0.0276682376862 | Guide: 0
 | Episode: 206 | Train: 0.0444180965424 | Gym: 0.0202753543854 | Batch: 0.0250203609467 | Guide: 0
 | Episode: 207 | Train: 0.0474274158478 | Gym: 0.0211329460144 | Batch: 0.02579164505 | Guide: 0
 | Episode: 208 | Train: 0.0452780723572 | Gym: 0.0194828510284 | Batch: 0.0231378078461 | Guide: 0
 | Episode: 209 | Train: 0.0453705787659 | Gym: 0.0220470428467 | Batch: 0.025806427002 | Guide: 0
 | Episode: 210 | Train: 0.0443785190582 | Gym: 0.0218300819397 | Batch: 0.0257480144501 | Guide: 0
 | Episode: 211 | Train: 0.0464408397675 | Gym: 0.0234560966492 | Batch: 0.0276827812195 | Guide: 0
 | Episode: 212 | Train: 0.0457768440247 | Gym: 0.124922513962 | Batch: 0.0256481170654 | Guide: 0.106302022934
 | Episode: 213 | Train: 0.0471184253693 | Gym: 0.0216076374054 | Batch: 0.0275769233704 | Guide: 0
 | Episode: 214 | Train: 0.0467422008514 | Gym: 0.229691028595 | Batch: 0.0290262699127 | Guide: 0.210384845734
 | Episode: 215 | Train: 0.0490324497223 | Gym: 0.0232126712799 | Batch: 0.0276935100555 | Guide: 0
 | Episode: 216 | Train: 0.045330286026 | Gym: 0.0210320949554 | Batch: 0.0295705795288 | Guide: 0
 | Episode: 217 | Train: 0.0470385551453 | Gym: 0.386646986008 | Batch: 0.0293827056885 | Guide: 0.366572141647
 | Episode: 218 | Train: 0.0353300571442 | Gym: 0.316710948944 | Batch: 0.0214393138885 | Guide: 0.306508779526
 | Episode: 219 | Train: 0.041558265686 | Gym: 0.0178978443146 | Batch: 0.0222256183624 | Guide: 0
 | Episode: 220 | Train: 0.146061897278 | Gym: 0.0219988822937 | Batch: 0.0268998146057 | Guide: 0
 | Episode: 221 | Train: 0.0501570701599 | Gym: 0.0235934257507 | Batch: 0.0280859470367 | Guide: 0
 | Episode: 222 | Train: 0.0442297458649 | Gym: 0.626898050308 | Batch: 0.0254881381989 | Guide: 0.609251976013
 | Episode: 223 | Train: 0.0439472198486 | Gym: 0.0216770172119 | Batch: 0.0257194042206 | Guide: 0
 | Episode: 224 | Train: 0.0446970462799 | Gym: 0.0239500999451 | Batch: 0.0279703140259 | Guide: 0
 | Episode: 225 | Train: 0.0440273284912 | Gym: 0.107852697372 | Batch: 0.0251884460449 | Guide: 0.0894908905029
 | Episode: 226 | Train: 0.0486190319061 | Gym: 0.0218601226807 | Batch: 0.0274467468262 | Guide: 0
 | Episode: 227 | Train: 0.0495607852936 | Gym: 0.0201408863068 | Batch: 0.0262045860291 | Guide: 0
 | Episode: 228 | Train: 0.0438213348389 | Gym: 0.208017587662 | Batch: 0.027065038681 | Guide: 0.19172501564
 | Episode: 229 | Train: 0.0454344749451 | Gym: 0.0221667289734 | Batch: 0.0289161205292 | Guide: 0
 | Episode: 230 | Train: 0.048184633255 | Gym: 0.021479845047 | Batch: 0.0254666805267 | Guide: 0
 | Episode: 231 | Train: 0.0569036006927 | Gym: 0.0257465839386 | Batch: 0.0324816703796 | Guide: 0
 | Episode: 232 | Train: 0.0520527362823 | Gym: 0.105124473572 | Batch: 0.0340003967285 | Guide: 0.080118894577
 | Episode: 233 | Train: 0.0461177825928 | Gym: 0.0215699672699 | Batch: 0.0292103290558 | Guide: 0
